#,direccion,zona,ventas,lat,lng,localidad,provincia,estado
1,Lavalle 300,Echesortu,85,-32.9423,-60.6667,Rosario,Santa Fe,verificado
2,Lavalle 1600,Echesortu,72,-32.948861,-60.680265,Rosario,Santa Fe,verificado
3,Córdoba 890,Echesortu,45,-32.946715,-60.635048,Rosario,Santa Fe,verificado
4,Rioja 990,Echesortu,38,-32.947665,-60.636842,Rosario,Santa Fe,verificado
5,San Luis 1090,Echesortu,12,-32.949277,-60.636539,Rosario,Santa Fe,verificado
6,Mendoza 1290,Echesortu,67,-32.950638,-60.64203,Rosario,Santa Fe,verificado
7,Zeballos 1540,Echesortu,91,-32.953566,-60.64641,Rosario,Santa Fe,verificado
8,Montevideo 1650,Echesortu,55,-32.954417,-60.648333,Rosario,Santa Fe,verificado
9,República del Líbano 200,Florida Sur,8,-32.912023,-60.690036,Rosario,Santa Fe,verificado
10,Paso de Uspallata 300,Florida Sur,15,-32.910517,-60.690531,Rosario,Santa Fe,verificado
11,Remedios de Escalada 300,Florida Sur,22,-32.909549,-60.689883,Rosario,Santa Fe,verificado
12,Valle de Huaura 50,Florida Sur,5,-32.912296,-60.690315,Rosario,Santa Fe,verificado
13,Batalla de Bailén 100,Florida Sur,18,-32.912144,-60.689373,Rosario,Santa Fe,verificado
14,Avenida Pres. Perón 4000,Barrio Parque,78,-32.957218,-60.682393,Rosario,Santa Fe,verificado
15,Avenida Pres. Perón 3500,Barrio Parque,62,-32.956382,-60.674965,Rosario,Santa Fe,verificado
16,Avenida Pres. Perón 3000,Barrio Parque,44,-32.955472,-60.667807,Rosario,Santa Fe,verificado
17,Ocampo 3800,Barrio Parque,88,-32.95969,-60.680101,Rosario,Santa Fe,verificado
18,Cafferata 678,Barrio Parque,33,-32.938263,-60.6707,Rosario,Santa Fe,verificado
19,Baigorria 2300,Cerámica,25,-32.893329,-60.712834,Rosario,Santa Fe,verificado
20,Doctor Pedro Medrano 2259,Cerámica,48,-32.893672,-60.702239,Rosario,Santa Fe,verificado
21,Anchoris 1300,Cerámica,95,-32.902623,-60.697821,Rosario,Santa Fe,verificado
22,Molina 1700,Cerámica,73,-32.898992,-60.704396,Rosario,Santa Fe,verificado
23,Braille 3500,Cerámica,19,-32.883146,-60.709345,Rosario,Santa Fe,verificado
24,Valle Hermoso 2500,Cerámica,31,-32.886458,-60.709777,Rosario,Santa Fe,verificado
25,José María Rosa 7500,Fisherton,82,-32.965219,-60.720235,Rosario,Santa Fe,verificado
26,Chizzini 8400,Fisherton,76,-32.9225,-60.745698,Rosario,Santa Fe,verificado
27,Brassey 8200,Fisherton,59,-32.923031,-60.739374,Rosario,Santa Fe,verificado
28,Boulevard Argentino 8000,Fisherton,64,-32.924161,-60.734702,Rosario,Santa Fe,verificado
29,Juan B. Justo 1100,Empalme 2,28,-32.913732,-60.679112,Rosario,Santa Fe,verificado
30,González del Solar Bis 1100,Fisherton,35,-32.916457,-60.737459,Rosario,Santa Fe,verificado
31,José Ingenieros 900,Empalme 2,16,-32.915794,-60.676668,Rosario,Santa Fe,verificado
32,Juan José Paso 700,Empalme 2,14,-32.918876,-60.674247,Rosario,Santa Fe,verificado
33,Baigorria 2200,Casiano Casas,37,-32.893361,-60.710174,Rosario,Santa Fe,verificado
34,Mariano Perdriel 2200,Casiano Casas,42,-32.894502,-60.711495,Rosario,Santa Fe,verificado
35,Marcelino Freyre 2100,Casiano Casas,29,-32.895524,-60.710328,Rosario,Santa Fe,verificado
36,Calvo 1327,Casiano Casas,53,-32.905612,-60.704956,Rosario,Santa Fe,verificado
37,Comercio 1100,Casiano Casas,21,-32.90436,-60.696693,Rosario,Santa Fe,verificado
38,Francisco Netri 1100,Casiano Casas,26,-32.902537,-60.697459,Rosario,Santa Fe,verificado
39,Avenida Casiano Casas 1200,Casiano Casas,34,-32.904179,-60.699176,Rosario,Santa Fe,verificado
40,San Martín 567,Centro,12,-32.944155,-60.636109,Rosario,Santa Fe,verificado
41,Pellegrini 890,Centro,45,-32.9573,-60.637962,Rosario,Santa Fe,verificado
42,Mitre 2344,Centro,78,-32.964196,-60.644361,Rosario,Santa Fe,verificado
43,Entre Ríos 789,Centro,92,-32.945601,-60.640717,Rosario,Santa Fe,verificado
44,Sarmiento 345,Centro,23,-32.941026,-60.636812,Rosario,Santa Fe,verificado
45,Balcarce 678,Centro,67,-32.942144,-60.651818,Rosario,Santa Fe,verificado
46,Boulevard Oroño 7890,Saladillo,88,-33.012481,-60.665988,Rosario,Santa Fe,verificado
47,Wheelwright 2345,Centro,15,-32.932661,-60.647712,Rosario,Santa Fe,verificado
48,Laprida 901,Centro,9,-32.948509,-60.634079,Rosario,Santa Fe,verificado
49,Zeballos 789,Centro,62,-32.955804,-60.636189,Rosario,Santa Fe,verificado
50,Paraguay 567,Centro,95,-32.942624,-60.642811,Rosario,Santa Fe,verificado
51,Urquiza 8901,Fisherton,18,-32.934113,-60.738161,Rosario,Santa Fe,verificado
